,cooks_d,leverage,DFBETA_0,DFBETA_1,DFBETA_2,DFBETA_3,DFBETA_4,DFBETA_5
73,0.17024811372641926,0.08727803710922309,-0.32688073997097594,-0.027302537866430537,0.31867190796881273,0.10357897304454852,0.8709817961364477,-0.2876500330947619
44,0.06716602981547405,0.3281904586397577,-0.17878973128397396,-0.16108499064378765,0.5025077635424323,0.038544323445641245,0.26892910668110254,-0.02371255474706985
46,0.05573021836677623,0.0778585627177926,0.029053836612446562,0.14160082330109097,-0.3042023758354572,0.02754178364918003,0.12086418357953416,-0.0985364695298043
72,0.05178753174459477,0.06913145192566866,0.1793760296620392,-0.45447086669049536,-0.20066547547364885,0.15712340775023403,0.10482764432591118,-0.3051568116546122
95,0.043241352363757736,0.07984268819958716,0.10682559987060952,-0.14504223003491334,-0.014108182750416158,-0.3792350736226752,-0.08046429447337425,-0.10016840471246576
