Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
spfc,Damián Bobadilla,24.0,6.0,1.81,2700000,2500000.0,62.0,1.71,9.0,6.7,0,0,1,0,-4.95438596491228,24.545940289319784,14.73180128983843,16,12396,1.0
spfc,Alisson,32.0,6.0,1.74,0,1800000.0,79.0,1.47,1.0,2.5,0,0,1,0,3.04561403508772,9.275764850723304,14.403297222866392,16,12396,1.0
spfc,Oscar,33.0,7.0,1.8,0,3500000.0,58.0,1.17,-2.0,1.2,0,0,1,0,4.04561403508772,16.366992920898742,15.068273526459642,16,12396,1.0
spfc,Lucas Moura,33.0,8.0,1.72,0,4000000.0,28.0,1.67,2.0,1.8,0,0,0,1,4.04561403508772,16.366992920898742,15.201804919084164,16,12396,1.0
spfc,Luciano,32.0,10.0,1.81,0,2000000.0,63.0,1.56,4.0,5.9,0,0,0,1,3.04561403508772,9.275764850723304,14.50865773852422,16,12396,1.0
spfc,André Silva,28.0,11.0,1.81,3800000,5000000.0,68.0,1.6,2.0,3.7,0,0,0,1,-0.95438596491228,0.910852570021544,15.424948470398377,16,12396,1.0
spfc,Jonathan Calleri,31.0,11.0,1.81,2900000,2500000.0,40.0,1.0,0.0,1.8,0,0,0,1,2.04561403508772,4.184536780547863,14.73180128983843,16,12396,1.0
sport,João Silva,26.0,4.0,1.89,0,1500000.0,72.0,0.6,-11.0,-7.4,0,1,0,0,-2.95438596491228,8.728396429670665,14.22097566607244,17,11623,1.0
sport,Matheus Alexandre,26.0,2.0,1.88,1460000,1500000.0,75.0,0.67,-10.0,-4.9,0,1,0,0,-2.95438596491228,8.728396429670665,14.22097566607244,17,11623,1.0
sport,Christian Rivera,29.0,5.0,1.85,2900000,3000000.0,81.0,0.47,-17.0,-9.2,0,0,1,0,0.0456140350877198,0.0020806401969837,14.914122846632385,17,11623,1.0
sport,Rodrigo Atencio,23.0,8.0,1.75,1900000,3000000.0,31.0,0.45,-2.0,-1.3,0,0,0,1,-5.95438596491228,35.45471221914435,14.914122846632385,17,11623,1.0
sport,Chrystian Barletta,24.0,8.0,1.78,1200000,1700000.0,60.0,0.53,-13.0,-5.1,0,0,0,1,-4.95438596491228,24.545940289319784,14.346138809026444,17,11623,1.0
sport,Romarinho,31.0,8.0,1.68,465000000,1000000.0,17.0,0.33,-2.0,-0.2,0,0,0,1,2.04561403508772,4.184536780547863,13.815510557964274,17,11623,1.0
vasco,Léo Jardim,30.0,1.0,1.88,2000000,7000000.0,90.0,1.0,0.0,-2.7,1,0,0,0,1.04561403508772,1.0933087103724235,15.761420707019589,18,10871,1.0
vasco,Daniel Fuzato,28.0,1.0,1.9,0,900000.0,46.0,0.5,-2.0,-0.2,1,0,0,0,-0.95438596491228,0.910852570021544,13.710150042306449,18,10871,1.0
vasco,Mauricio Lemos,29.0,4.0,1.87,0,2500000.0,61.0,1.75,-1.0,-1.3,0,1,0,0,0.0456140350877198,0.0020806401969837,14.73180128983843,18,10871,1.0
vasco,Lucas Oliveira,29.0,4.0,1.87,0,1400000.0,16.0,3.0,0.0,0.0,0,1,0,0,0.0456140350877198,0.0020806401969837,14.151982794585487,18,10871,1.0
vasco,Lucas Freitas,24.0,4.0,1.84,0,1000000.0,78.0,0.81,-2.0,-0.1,0,1,0,0,-4.95438596491228,24.545940289319784,13.815510557964274,18,10871,1.0
vasco,Lucas Piton,24.0,3.0,1.75,3000000,8000000.0,90.0,1.0,0.0,-3.2,0,1,0,0,-4.95438596491228,24.545940289319784,15.89495209964411,18,10871,1.0
vasco,Paulo Henrique,29.0,2.0,1.75,900000000,2500000.0,88.0,1.27,7.0,-0.5,0,1,0,0,0.0456140350877198,0.0020806401969837,14.73180128983843,18,10871,1.0
vasco,Juan Sforza,23.0,5.0,1.79,4600000,3000000.0,36.0,0.0,-1.0,-0.1,0,0,1,0,-5.95438596491228,35.45471221914435,14.914122846632385,18,10871,1.0
vasco,Thiago Mendes,33.0,5.0,1.77,0,3000000.0,33.0,1.0,-4.0,-1.1,0,0,1,0,4.04561403508772,16.366992920898742,14.914122846632385,18,10871,1.0
vasco,Jair,31.0,5.0,1.78,2650000,2500000.0,53.0,1.0,2.0,-0.7,0,0,1,0,2.04561403508772,4.184536780547863,14.73180128983843,18,10871,1.0
vasco,Hugo Moura,27.0,5.0,1.77,2000000,1800000.0,80.0,1.0,3.0,-3.1,0,0,1,0,-1.95438596491228,3.819624499846104,14.403297222866392,18,10871,1.0
vasco,Philippe Coutinho,33.0,7.0,1.72,0,4500000.0,78.0,1.21,5.0,1.4,0,0,1,0,4.04561403508772,16.366992920898742,15.319587954740548,18,10871,1.0
vasco,Jean Meneses,32.0,9.0,1.63,1300000,2000000.0,1.0,0.0,0.0,0.0,0,0,0,1,3.04561403508772,9.275764850723304,14.50865773852422,18,10871,1.0
vasco,David,29.0,9.0,1.79,2500000,1500000.0,50.0,0.75,8.0,1.8,0,0,0,1,0.0456140350877198,0.0020806401969837,14.22097566607244,18,10871,1.0
vasco,Loide Augusto,25.0,9.0,1.83,2500000,1200000.0,19.0,1.0,-4.0,-0.9,0,0,0,1,-3.95438596491228,15.637168359495226,13.997832114758229,18,10871,1.0
vasco,Adson,24.0,8.0,1.71,5000000,3000000.0,21.0,1.2,-2.0,-0.5,0,0,0,1,-4.95438596491228,24.545940289319784,14.914122846632385,18,10871,1.0
vasco,Pablo Vegetti,36.0,11.0,1.87,1000000,750000.0,81.0,0.89,-4.0,-2.2,0,0,0,1,7.04561403508772,49.640677131425065,13.527828485512494,18,10871,1.0
vitoria,Zé Marcos,27.0,4.0,1.88,0,900000.0,87.0,0.88,-12.0,-12.8,0,1,0,0,-1.95438596491228,3.819624499846104,13.710150042306449,19,11187,1.0
vitoria,Claudinho,24.0,2.0,1.8,800000000,2000000.0,72.0,0.83,-4.0,-2.5,0,1,0,0,-4.95438596491228,24.545940289319784,14.50865773852422,19,11187,1.0
vitoria,Ismael,26.0,5.0,1.84,0,1500000.0,18.0,1.0,-1.0,-0.1,0,0,1,0,-2.95438596491228,8.728396429670665,14.22097566607244,19,11187,1.0
vitoria,Ronald,28.0,5.0,1.71,0,700000.0,68.0,0.94,-9.0,-7.2,0,0,1,0,-0.95438596491228,0.910852570021544,13.458835614025542,19,11187,1.0
