spec,N,R2,Adj_R2,RMSE_in,MAE_in,RMSE_cv5,MAE_cv5
Modelo_DEF,91,0.577584271134237,0.5527362870833098,0.6827925338874152,0.5881701715487115,0.7489403170396958,0.64483322184151
Modelo_MC,87,0.2938588546437846,0.25026989505389474,0.7854524118682527,0.6545412941577705,0.8364002723824617,0.7110758925106628
Modelo_ATA,91,0.4883847386023852,0.4582897232260549,0.7067460723831518,0.5819699333569286,0.773384167502169,0.6339279632687036
Modelo_GK,14,0.749458410800366,0.5928699175505947,0.7258718802951313,0.6074626744604986,1.980562540977806,1.6939614129728955
