cluster,n_obs,mean_value,std_value,min_value,max_value,r_squared
0,67,6194029.850746268,1644447.092952423,1500000.0,10000000.0,0.16006742976819122
1,134,1426679.1044776118,989038.5975176312,100000.0,4500000.0,0.28940000433604507
2,104,2033653.8461538462,1470840.231231899,0.0,6000000.0,0.2048558070101415
