variable,vif
fb_Mn/MP,1.471076727799987
fb_PPM,2.0861462949954475
fb_+/-,5.360977475735025
fb_xG+/-,4.152501285313979
Dum_GK,1.8442680522320243
Dum_DEF,1.8969260669187828
Dum_ATA,1.458410718874086
age,1.1260174894633848
Height,1.5044046584813815
