spec,RESET_p,BP_p,White_p,JB_p
baseline,0.008336806244743545,0.30546396038744494,0.812456661856536,0.0
robustB_trim,0.008336806244743545,0.30546396038744494,0.812456661856536,0.0
robustC_cluster,0.0,0.051514213983294005,0.7105040846675437,1.0046742751018242e-07
