Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age2,cluster
palmeiras,Facundo Torres,25.0,9.0,1.77,11500000,1400000.0,67.0,2.29,9.0,7.8,0,0,0,1,625.0,0
palmeiras,Felipe Anderson,32.0,8.0,1.75,0,4000000.0,56.0,2.5,12.0,7.8,0,0,0,1,1024.0,0
palmeiras,Vitor Roque,20.0,11.0,1.74,25500000,2000000.0,58.0,2.17,17.0,10.7,0,0,0,1,400.0,0
santos,Gil,38.0,4.0,1.92,0,200000.0,90.0,1.11,0.0,-0.1,0,1,0,0,1444.0,1
santos,Gonzalo Escobar,28.0,3.0,1.71,0,1000000.0,71.0,0.95,-10.0,-4.3,0,1,0,0,784.0,1
santos,Mayke,32.0,2.0,1.78,0,2500000.0,75.0,1.5,-6.0,-1.6,0,1,0,0,1024.0,1
santos,João Schmidt,32.0,5.0,1.83,0,1000000.0,68.0,1.0,-4.0,-3.0,0,0,1,0,1024.0,2
santos,Zé Rafael,32.0,6.0,1.75,2500000,3000000.0,58.0,1.45,-6.0,-4.3,0,0,1,0,1024.0,2
santos,Neymar,33.0,7.0,1.75,0,1200000.0,74.0,1.45,-5.0,-2.1,0,0,1,0,1089.0,2
santos,Thaciano,30.0,7.0,1.82,4500000,1500000.0,32.0,1.0,-4.0,-2.7,0,0,1,0,900.0,2
santos,Guilherme,30.0,9.0,1.78,900000000,3000000.0,80.0,1.14,-6.0,-4.7,0,0,0,1,900.0,0
santos,Gustavo Caballero,23.0,9.0,1.86,1300000,600000.0,35.0,1.4,2.0,1.9,0,0,0,1,529.0,0
santos,Benjamín Rollheiser,25.0,8.0,1.72,11000000,8000000.0,71.0,0.95,-11.0,-8.5,0,0,0,1,625.0,0
santos,Tiquinho Soares,34.0,11.0,1.87,3000000,1500000.0,62.0,0.94,-3.0,-0.6,0,0,0,1,1156.0,0
spfc,Alan Franco,28.0,4.0,1.83,285000000,4500000.0,81.0,1.25,-2.0,4.3,0,1,0,0,784.0,1
spfc,Nahuel Ferraresi,26.0,4.0,1.9,4300000,3000000.0,77.0,1.76,11.0,9.0,0,1,0,0,676.0,1
spfc,Robert Arboleda,33.0,4.0,1.89,1800000,800000.0,90.0,1.46,0.0,1.6,0,1,0,0,1089.0,1
spfc,Wendell,32.0,3.0,1.76,0,3500000.0,56.0,1.27,3.0,1.7,0,1,0,0,1024.0,1
spfc,Damián Bobadilla,24.0,6.0,1.81,2700000,2500000.0,62.0,1.71,9.0,6.7,0,0,1,0,576.0,2
spfc,Alisson,32.0,6.0,1.74,0,1800000.0,79.0,1.47,1.0,2.5,0,0,1,0,1024.0,2
spfc,Oscar,33.0,7.0,1.8,0,3500000.0,58.0,1.17,-2.0,1.2,0,0,1,0,1089.0,2
spfc,Lucas Moura,33.0,8.0,1.72,0,4000000.0,28.0,1.67,2.0,1.8,0,0,0,1,1089.0,0
spfc,Luciano,32.0,10.0,1.81,0,2000000.0,63.0,1.56,4.0,5.9,0,0,0,1,1024.0,0
spfc,André Silva,28.0,11.0,1.81,3800000,5000000.0,68.0,1.6,2.0,3.7,0,0,0,1,784.0,0
spfc,Jonathan Calleri,31.0,11.0,1.81,2900000,2500000.0,40.0,1.0,0.0,1.8,0,0,0,1,961.0,0
sport,João Silva,26.0,4.0,1.89,0,1500000.0,72.0,0.6,-11.0,-7.4,0,1,0,0,676.0,1
sport,Rafael Thyere,32.0,4.0,1.9,0,400000.0,90.0,0.88,-5.0,-2.2,0,1,0,0,1024.0,1
sport,Matheus Alexandre,26.0,2.0,1.88,1460000,1500000.0,75.0,0.67,-10.0,-4.9,0,1,0,0,676.0,1
sport,Christian Rivera,29.0,5.0,1.85,2900000,3000000.0,81.0,0.47,-17.0,-9.2,0,0,1,0,841.0,2
sport,Lucas Lima,35.0,7.0,1.76,0,500000.0,79.0,0.53,-9.0,-5.2,0,0,1,0,1225.0,2
sport,Rodrigo Atencio,23.0,8.0,1.75,1900000,3000000.0,31.0,0.45,-2.0,-1.3,0,0,0,1,529.0,0
sport,Chrystian Barletta,24.0,8.0,1.78,1200000,1700000.0,60.0,0.53,-13.0,-5.1,0,0,0,1,576.0,0
sport,Romarinho,31.0,8.0,1.68,465000000,1000000.0,17.0,0.33,-2.0,-0.2,0,0,0,1,961.0,0
sport,Pablo,33.0,11.0,1.85,0,600000.0,61.0,0.6,-10.0,-7.3,0,0,0,1,1089.0,0
vasco,Léo Jardim,30.0,1.0,1.88,2000000,7000000.0,90.0,1.0,0.0,-2.7,1,0,0,0,900.0,3
vasco,Daniel Fuzato,28.0,1.0,1.9,0,900000.0,46.0,0.5,-2.0,-0.2,1,0,0,0,784.0,3
vasco,Mauricio Lemos,29.0,4.0,1.87,0,2500000.0,61.0,1.75,-1.0,-1.3,0,1,0,0,841.0,1
vasco,Lucas Oliveira,29.0,4.0,1.87,0,1400000.0,16.0,3.0,0.0,0.0,0,1,0,0,841.0,1
vasco,Lucas Freitas,24.0,4.0,1.84,0,1000000.0,78.0,0.81,-2.0,-0.1,0,1,0,0,576.0,1
vasco,Lucas Piton,24.0,3.0,1.75,3000000,8000000.0,90.0,1.0,0.0,-3.2,0,1,0,0,576.0,1
vasco,Victor Luís,32.0,3.0,1.77,0,450000.0,32.0,0.5,-2.0,-0.5,0,1,0,0,1024.0,1
vasco,Paulo Henrique,29.0,2.0,1.75,900000000,2500000.0,88.0,1.27,7.0,-0.5,0,1,0,0,841.0,1
vasco,Juan Sforza,23.0,5.0,1.79,4600000,3000000.0,36.0,0.0,-1.0,-0.1,0,0,1,0,529.0,2
vasco,Thiago Mendes,33.0,5.0,1.77,0,3000000.0,33.0,1.0,-4.0,-1.1,0,0,1,0,1089.0,2
vasco,Jair,31.0,5.0,1.78,2650000,2500000.0,53.0,1.0,2.0,-0.7,0,0,1,0,961.0,2
vasco,Hugo Moura,27.0,5.0,1.77,2000000,1800000.0,80.0,1.0,3.0,-3.1,0,0,1,0,729.0,2
vasco,Philippe Coutinho,33.0,7.0,1.72,0,4500000.0,78.0,1.21,5.0,1.4,0,0,1,0,1089.0,2
vasco,Jean Meneses,32.0,9.0,1.63,1300000,2000000.0,1.0,0.0,0.0,0.0,0,0,0,1,1024.0,0
vasco,David,29.0,9.0,1.79,2500000,1500000.0,50.0,0.75,8.0,1.8,0,0,0,1,841.0,0
vasco,Loide Augusto,25.0,9.0,1.83,2500000,1200000.0,19.0,1.0,-4.0,-0.9,0,0,0,1,625.0,0
vasco,Adson,24.0,8.0,1.71,5000000,3000000.0,21.0,1.2,-2.0,-0.5,0,0,0,1,576.0,0
vasco,Pablo Vegetti,36.0,11.0,1.87,1000000,750000.0,81.0,0.89,-4.0,-2.2,0,0,0,1,1296.0,0
vitoria,Zé Marcos,27.0,4.0,1.88,0,900000.0,87.0,0.88,-12.0,-12.8,0,1,0,0,729.0,1
vitoria,Claudinho,24.0,2.0,1.8,800000000,2000000.0,72.0,0.83,-4.0,-2.5,0,1,0,0,576.0,1
vitoria,Ismael,26.0,5.0,1.84,0,1500000.0,18.0,1.0,-1.0,-0.1,0,0,1,0,676.0,2
vitoria,Ronald,28.0,5.0,1.71,0,700000.0,68.0,0.94,-9.0,-7.2,0,0,1,0,784.0,2
vitoria,Aitor Cantalapiedra,29.0,7.0,1.77,0,1800000.0,52.0,0.33,-6.0,-2.3,0,0,1,0,841.0,2
vitoria,Lucas Braga,28.0,9.0,1.84,835000000,900000.0,60.0,0.79,-9.0,-9.1,0,0,0,1,784.0,0
vitoria,Osvaldo,38.0,8.0,1.7,0,150000.0,45.0,1.0,-3.0,-1.1,0,0,0,1,1444.0,0
vitoria,Romarinho,34.0,11.0,1.76,0,1500000.0,70.0,0.0,-1.0,-1.1,0,0,0,1,1156.0,0
vitoria,Renato Kayzer,29.0,11.0,1.76,810000000,1000000.0,77.0,0.93,-6.0,-5.1,0,0,0,1,841.0,0
vitoria,Renzo López,31.0,11.0,1.92,0,800000.0,17.0,1.0,-5.0,-2.6,0,0,0,1,961.0,0
bahia,Ademir,30.0,8.0,1.72,2300000,1500000.0,64.0,2.06,6.0,5.8,0,0,0,1,900.0,0
internacional,Alan Patrick,34.0,7.0,1.77,2000000,3000000.0,83.0,1.57,5.0,6.7,0,0,1,0,1156.0,2
internacional,Alexandro Bernabei,24.0,3.0,1.69,5500000,7000000.0,85.0,1.33,5.0,5.6,0,1,0,0,576.0,1
internacional,Braian Aguirre,25.0,2.0,1.75,1270000,2500000.0,84.0,1.17,-9.0,2.1,0,1,0,0,625.0,1
internacional,Bruno Henrique,35.0,6.0,1.8,0,400000.0,60.0,1.47,-1.0,4.0,0,0,1,0,1225.0,2
internacional,Bruno Tabata,28.0,8.0,1.75,2200000,2000000.0,49.0,1.25,-2.0,5.0,0,0,1,0,784.0,2
internacional,Clayton,25.0,4.0,1.87,1200000,1000000.0,80.0,1.33,-2.0,3.2,0,1,0,0,625.0,1
internacional,Enner Valencia,35.0,11.0,1.78,0,1700000.0,46.0,1.38,-2.0,1.9,0,0,0,1,1225.0,0
internacional,Gabriel Mercado,38.0,4.0,1.8,0,200000.0,90.0,0.0,-1.0,1.0,0,1,0,0,1444.0,1
internacional,Juninho,30.0,4.0,1.85,1500000,800000.0,90.0,0.75,-4.0,1.6,0,1,0,0,900.0,1
internacional,Rafael Borré,29.0,11.0,1.74,6500000,7000000.0,53.0,1.38,0.0,3.5,0,0,0,1,841.0,0
internacional,Ronaldo,28.0,5.0,1.79,0,1000000.0,62.0,1.0,-6.0,1.4,0,1,0,0,784.0,1
internacional,Sergio Rochet,32.0,1.0,1.9,1450000,3500000.0,84.0,1.75,4.0,4.2,1,0,0,0,1024.0,3
internacional,Thiago Maia,28.0,5.0,1.79,4000000,5000000.0,57.0,1.25,5.0,6.8,0,1,0,0,784.0,1
internacional,Wesley,26.0,9.0,1.75,2000000,9000000.0,69.0,1.28,1.0,4.5,0,0,0,1,676.0,0
