cluster,count,percentage,age_mean,age_std,age_median,Position_Num_mean,Position_Num_std,Position_Num_median,Height_mean,Height_std,Height_median,fb_Mn/MP_mean,fb_Mn/MP_std,fb_Mn/MP_median,fb_PPM_mean,fb_PPM_std,fb_PPM_median,fb_+/-_mean,fb_+/-_std,fb_+/-_median,fb_xG+/-_mean,fb_xG+/-_std,fb_xG+/-_median,Dum_GK_mean,Dum_GK_std,Dum_GK_median,Dum_DEF_mean,Dum_DEF_std,Dum_DEF_median,Dum_MC_mean,Dum_MC_std,Dum_MC_median,Dum_ATA_mean,Dum_ATA_std,Dum_ATA_median,age2_mean,age2_std,age2_median
0,92,32.280701754385966,28.73913043478261,4.459511541816101,28.0,9.423913043478262,1.268673233175214,9.0,1.773804347826087,0.06519358141574795,1.77,48.29347826086956,20.781192915170777,50.0,1.3213043478260869,0.6254848095788224,1.33,0.9347826086956522,7.03961217061432,0.0,0.6565217391304348,4.376267272605783,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,845.6086956521739,260.1709901187657,784.0
1,91,31.929824561403507,29.13186813186813,4.05848573624529,29.0,3.1868131868131866,0.8681025017830291,3.0,1.8099999999999998,0.0620573211725346,1.81,71.6923076923077,19.77298511026952,78.0,1.3587912087912086,0.6185912941960865,1.33,0.9230769230769231,8.254602445815397,-1.0,0.6450549450549451,4.816390158989838,0.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.9560439560439,240.7159650380004,841.0
2,88,30.87719298245614,28.363636363636363,4.183112788567968,28.5,5.920454545454546,0.9125131510195889,6.0,1.7721590909090907,0.05410608701465687,1.77,57.71590909090909,20.04188078427149,58.5,1.4107954545454544,0.6481542699699283,1.435,1.2727272727272727,7.2678275030727075,0.0,0.8477272727272727,4.681388370365161,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,821.7954545454545,233.8213857603095,812.5
3,14,4.912280701754386,32.92857142857143,4.393426658338319,34.0,1.0,0.0,1.0,1.9099999999999997,0.03137858162210947,1.9,85.85714285714286,11.752951464711668,90.0,1.2985714285714285,0.7691139471731504,1.185,2.4285714285714284,10.082080720186267,0.0,1.2642857142857145,4.946732743454495,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102.2142857142858,285.7850667820213,1156.0
