cluster,count,percentage,Value_Num_mean,Value_Num_std,Value_Num_median,fb_Mn/MP_mean,fb_Mn/MP_std,fb_Mn/MP_median
0,65,22.807017543859647,6300000.0,1535517.0139076936,6000000.0,67.86153846153846,17.26799507314482,72.0
1,124,43.50877192982456,1406653.2258064516,938202.9011083083,1200000.0,75.95967741935483,11.026501109797433,78.0
2,96,33.68421052631579,1986458.3333333333,1438154.5039365496,1650000.0,35.604166666666664,14.261083716601968,36.5
