spec,RMSE_in,MAE_in,RMSE_cv5,MAE_cv5,R2,Adj_R2,N
baseline_A,0.7416434255744558,0.6214608252639754,0.7745134466095555,0.6441046833486067,0.485223294606006,0.46629768043710906,283
baseline_B,0.7646865833692088,0.64095548704518,0.7987835550875595,0.6659387750845833,0.4527377085851815,0.43261777140081314,283
baseline_E,0.7416434255744558,0.6214608252639754,0.7745134466095555,0.6441046833486067,0.485223294606006,0.46629768043710906,283
