spec,term,coef,sign,RMSE_in,MAE_in,RMSE_cv5,MAE_cv5
baseline_A,pts_rnc,,,0.7416434255744558,0.6214608252639754,0.7745134466095555,0.6441046833486067
baseline_B,neglog_rank,,,0.7646865833692088,0.64095548704518,0.7987835550875595,0.6659387750845833
