Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc
cruzeiro,Christian,24.0,6.0,1.78,4000000,8000000.0,78.0,2.25,22.0,14.5,0,0,1,0,-4.413793103448278,19.48156956004758,15.89495209964411,7,17224
cruzeiro,Matheus Henrique,27.0,6.0,1.75,6300000,6000000.0,36.0,1.43,-3.0,-3.2,0,0,1,0,-1.4137931034482776,1.998810939357912,15.60727002719233,7,17224
cruzeiro,Matheus Pereira,29.0,7.0,1.75,5000000,1100000.0,78.0,2.0,15.0,10.1,0,0,1,0,0.5862068965517224,0.3436385255648018,13.9108207377686,7,17224
flamengo,Jorginho,33.0,5.0,1.8,0,6000000.0,84.0,2.38,14.0,4.9,0,0,1,0,4.586206896551722,21.033293697978582,15.60727002719233,8,16044
flamengo,Erick Pulgar,31.0,5.0,1.87,2800000,5000000.0,72.0,2.22,12.0,8.4,0,0,1,0,2.5862068965517224,6.6884661117716915,15.424948470398377,8,16044
flamengo,Allan,28.0,5.0,1.72,8199999,4000000.0,46.0,2.36,10.0,4.5,0,0,1,0,-0.4137931034482776,0.17122473246135694,15.201804919084164,8,16044
flamengo,Nicolás de la Cruz,28.0,6.0,1.67,14500000,1800000.0,58.0,1.91,5.0,4.6,0,0,1,0,-0.4137931034482776,0.17122473246135694,14.403297222866392,8,16044
flamengo,Giorgian de Arrascaeta,31.0,7.0,1.74,15000000,1500000.0,74.0,2.44,29.0,10.7,0,0,1,0,2.5862068965517224,6.6884661117716915,14.22097566607244,8,16044
flamengo,Jorge Carrascal,27.0,7.0,1.8,12500000,7000000.0,26.0,3.0,0.0,0.4,0,0,1,0,-1.4137931034482776,1.998810939357912,15.761420707019589,8,16044
fluminense,Facundo Bernal,22.0,5.0,1.87,3300000,2000000.0,65.0,1.27,-3.0,-5.3,0,0,1,0,-6.413793103448278,41.136741973840685,14.50865773852422,9,16138
fluminense,Luciano Acosta,31.0,7.0,1.6,3400000,6000000.0,83.0,0.0,-2.0,-0.4,0,0,1,0,2.5862068965517224,6.6884661117716915,15.60727002719233,9,16138
fluminense,Lima,29.0,7.0,1.81,500000000,2500000.0,49.0,1.79,0.0,1.5,0,0,1,0,0.5862068965517224,0.3436385255648018,14.73180128983843,9,16138
fluminense,Ganso,35.0,7.0,1.84,0,400000.0,44.0,1.92,3.0,-0.2,0,0,1,0,6.586206896551722,43.37812128418547,12.89921982609012,9,16138
fortaleza,Lucas Sasha,35.0,5.0,1.77,0,250000.0,83.0,0.94,-5.0,-2.1,0,0,1,0,6.586206896551722,43.37812128418547,12.429216196844385,10,14121
fortaleza,Matheus Rossetto,29.0,6.0,1.8,0,1500000.0,64.0,0.9,-5.0,0.5,0,0,1,0,0.5862068965517224,0.3436385255648018,14.22097566607244,10,14121
fortaleza,Pablo Roberto,25.0,6.0,1.83,1000000,800000.0,45.0,0.0,-1.0,0.8,0,0,1,0,-3.4137931034482776,11.653983353151023,13.592367006650065,10,14121
fortaleza,Kervin Andrade,20.0,7.0,1.63,600000000,1500000.0,23.0,0.88,3.0,2.0,0,0,1,0,-8.413793103448278,70.7919143876338,14.22097566607244,10,14121
gremio,Gustavo Cuéllar,32.0,5.0,1.76,0,2500000.0,62.0,2.0,1.0,0.8,0,0,1,0,3.5862068965517224,12.860879904875137,14.73180128983843,11,13966
gremio,Camilo,26.0,5.0,1.76,1000000,1200000.0,51.0,0.92,-5.0,-5.7,0,0,1,0,-2.4137931034482776,5.826397146254467,13.997832114758229,11,13966
gremio,Dodi,29.0,5.0,1.69,915000000,700000.0,78.0,1.25,3.0,-0.9,0,0,1,0,0.5862068965517224,0.3436385255648018,13.458835614025542,11,13966
gremio,Edenilson,35.0,6.0,1.75,0,600000.0,52.0,1.07,-1.0,-5.1,0,0,1,0,6.586206896551722,43.37812128418547,13.304684934198283,11,13966
gremio,Franco Cristaldo,29.0,7.0,1.75,4000000,7000000.0,51.0,1.0,-4.0,-2.5,0,0,1,0,0.5862068965517224,0.3436385255648018,15.761420707019589,11,13966
gremio,Miguel Monsalve,21.0,7.0,1.78,2300000,6000000.0,37.0,0.75,-2.0,-1.7,0,0,1,0,-7.413793103448278,54.96432818073724,15.60727002719233,11,13966
juventude,Daniel Giraldo,33.0,5.0,1.78,0,450000.0,51.0,1.17,-7.0,-2.9,0,0,1,0,4.586206896551722,21.033293697978582,13.017002861746503,12,14238
juventude,Jádson,31.0,6.0,1.71,0,1000000.0,90.0,0.95,-21.0,-17.1,0,0,1,0,2.5862068965517224,6.6884661117716915,13.815510557964274,12,14238
juventude,Lucas Fernandes,27.0,7.0,1.75,0,1500000.0,70.0,0.0,-2.0,-1.4,0,0,1,0,-1.4137931034482776,1.998810939357912,14.22097566607244,12,14238
mirassol,Neto Moura,29.0,5.0,1.76,78000000,900000.0,74.0,1.65,3.0,-2.1,0,0,1,0,0.5862068965517224,0.3436385255648018,13.710150042306449,13,12830
mirassol,Danielzinho,30.0,6.0,1.66,0,900000.0,89.0,1.72,11.0,3.7,0,0,1,0,1.5862068965517224,2.5160523186682466,13.710150042306449,13,12830
palmeiras,Aníbal Moreno,26.0,5.0,1.77,6450000,1100000.0,58.0,2.43,8.0,4.7,0,0,1,0,-2.4137931034482776,5.826397146254467,13.9108207377686,14,13482
palmeiras,Emiliano Martínez,26.0,5.0,1.85,7150000,7000000.0,57.0,2.19,3.0,5.2,0,0,1,0,-2.4137931034482776,5.826397146254467,15.761420707019589,14,13482
palmeiras,Lucas Evangelista,30.0,6.0,1.81,4000000,3500000.0,57.0,2.13,11.0,7.6,0,0,1,0,1.5862068965517224,2.5160523186682466,15.068273526459642,14,13482
palmeiras,Raphael Veiga,30.0,7.0,1.76,1300000,1500000.0,36.0,1.8,-2.0,0.9,0,0,1,0,1.5862068965517224,2.5160523186682466,14.22097566607244,14,13482
palmeiras,Mauricio,24.0,7.0,1.74,10500000,1100000.0,49.0,2.21,6.0,3.7,0,0,1,0,-4.413793103448278,19.48156956004758,13.9108207377686,14,13482
santos,João Schmidt,32.0,5.0,1.83,0,1000000.0,68.0,1.0,-4.0,-3.0,0,0,1,0,3.5862068965517224,12.860879904875137,13.815510557964274,15,11587
santos,Zé Rafael,32.0,6.0,1.75,2500000,3000000.0,58.0,1.45,-6.0,-4.3,0,0,1,0,3.5862068965517224,12.860879904875137,14.914122846632385,15,11587
santos,Neymar,33.0,7.0,1.75,0,1200000.0,74.0,1.45,-5.0,-2.1,0,0,1,0,4.586206896551722,21.033293697978582,13.997832114758229,15,11587
santos,Thaciano,30.0,7.0,1.82,4500000,1500000.0,32.0,1.0,-4.0,-2.7,0,0,1,0,1.5862068965517224,2.5160523186682466,14.22097566607244,15,11587
spfc,Damián Bobadilla,24.0,6.0,1.81,2700000,2500000.0,62.0,1.71,9.0,6.7,0,0,1,0,-4.413793103448278,19.48156956004758,14.73180128983843,16,12396
spfc,Alisson,32.0,6.0,1.74,0,1800000.0,79.0,1.47,1.0,2.5,0,0,1,0,3.5862068965517224,12.860879904875137,14.403297222866392,16,12396
spfc,Oscar,33.0,7.0,1.8,0,3500000.0,58.0,1.17,-2.0,1.2,0,0,1,0,4.586206896551722,21.033293697978582,15.068273526459642,16,12396
sport,Christian Rivera,29.0,5.0,1.85,2900000,3000000.0,81.0,0.47,-17.0,-9.2,0,0,1,0,0.5862068965517224,0.3436385255648018,14.914122846632385,17,11623
sport,Lucas Lima,35.0,7.0,1.76,0,500000.0,79.0,0.53,-9.0,-5.2,0,0,1,0,6.586206896551722,43.37812128418547,13.122363377404328,17,11623
vasco,Juan Sforza,23.0,5.0,1.79,4600000,3000000.0,36.0,0.0,-1.0,-0.1,0,0,1,0,-5.413793103448278,29.309155766944134,14.914122846632385,18,10871
vasco,Thiago Mendes,33.0,5.0,1.77,0,3000000.0,33.0,1.0,-4.0,-1.1,0,0,1,0,4.586206896551722,21.033293697978582,14.914122846632385,18,10871
vasco,Jair,31.0,5.0,1.78,2650000,2500000.0,53.0,1.0,2.0,-0.7,0,0,1,0,2.5862068965517224,6.6884661117716915,14.73180128983843,18,10871
vasco,Hugo Moura,27.0,5.0,1.77,2000000,1800000.0,80.0,1.0,3.0,-3.1,0,0,1,0,-1.4137931034482776,1.998810939357912,14.403297222866392,18,10871
vasco,Philippe Coutinho,33.0,7.0,1.72,0,4500000.0,78.0,1.21,5.0,1.4,0,0,1,0,4.586206896551722,21.033293697978582,15.319587954740548,18,10871
vitoria,Ismael,26.0,5.0,1.84,0,1500000.0,18.0,1.0,-1.0,-0.1,0,0,1,0,-2.4137931034482776,5.826397146254467,14.22097566607244,19,11187
vitoria,Ronald,28.0,5.0,1.71,0,700000.0,68.0,0.94,-9.0,-7.2,0,0,1,0,-0.4137931034482776,0.17122473246135694,13.458835614025542,19,11187
vitoria,Aitor Cantalapiedra,29.0,7.0,1.77,0,1800000.0,52.0,0.33,-6.0,-2.3,0,0,1,0,0.5862068965517224,0.3436385255648018,14.403297222866392,19,11187
internacional,Alan Patrick,34.0,7.0,1.77,2000000,3000000.0,83.0,1.57,5.0,6.7,0,0,1,0,5.586206896551722,31.205707491082027,14.914122846632385,20,9130
internacional,Bruno Henrique,35.0,6.0,1.8,0,400000.0,60.0,1.47,-1.0,4.0,0,0,1,0,6.586206896551722,43.37812128418547,12.89921982609012,20,9130
internacional,Bruno Tabata,28.0,8.0,1.75,2200000,2000000.0,49.0,1.25,-2.0,5.0,0,0,1,0,-0.4137931034482776,0.17122473246135694,14.50865773852422,20,9130
