Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_GK,Dum_DEF,Dum_MC,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc
botafogo,Nathan Fernandes,20.0,8.0,1.76,7200000,6000000.0,33.0,1.8,6.0,2.8,0,0,0,1,-8.76923076923077,76.89940828402368,15.60727002719233,3,18360
botafogo,Joaquín Correa,31.0,10.0,1.88,0,3000000.0,49.0,1.75,2.0,3.0,0,0,0,1,2.23076923076923,4.976331360946742,14.914122846632385,3,18360
botafogo,Arthur Cabral,27.0,11.0,1.86,12000000,10000000.0,85.0,2.0,6.0,3.8,0,0,0,1,-1.76923076923077,3.1301775147929023,16.11809565095832,3,18360
bragantino,Henry Mosquera,23.0,9.0,1.75,2300000,2500000.0,48.0,1.82,6.0,4.5,0,0,0,1,-5.76923076923077,33.284023668639065,14.73180128983843,4,18294
bragantino,Lucas Barbosa,24.0,8.0,1.94,2500000,4000000.0,63.0,1.33,-2.0,-0.5,0,0,0,1,-4.76923076923077,22.74556213017752,15.201804919084164,4,18294
bragantino,Ignacio Laquintana,26.0,8.0,1.73,690000000,1500000.0,39.0,1.17,-1.0,-3.6,0,0,0,1,-2.76923076923077,7.668639053254442,14.22097566607244,4,18294
bragantino,Isidro Pitta,26.0,11.0,1.83,4350000,6000000.0,44.0,1.38,-7.0,-6.2,0,0,0,1,-2.76923076923077,7.668639053254442,15.60727002719233,4,18294
bragantino,Thiago Borbas,23.0,11.0,1.86,4800000,5000000.0,21.0,1.55,4.0,0.6,0,0,0,1,-5.76923076923077,33.284023668639065,15.424948470398377,4,18294
bragantino,Eduardo Sasha,33.0,11.0,1.73,900000000,1500000.0,70.0,1.58,2.0,-0.1,0,0,0,1,4.23076923076923,17.89940828402366,14.22097566607244,4,18294
ceara,Fernandinho,28.0,9.0,1.75,0,1000000.0,37.0,1.43,3.0,1.6,0,0,0,1,-0.76923076923077,0.5917159763313622,13.815510557964274,5,17630
ceara,Pedro Henrique,35.0,8.0,1.79,0,600000.0,61.0,1.23,-3.0,-2.8,0,0,0,1,6.23076923076923,38.822485207100584,13.304684934198283,5,17630
ceara,Aylon,33.0,11.0,1.8,0,300000.0,41.0,0.92,2.0,1.2,0,0,0,1,4.23076923076923,17.89940828402366,12.611537753638338,5,17630
corinthians,Vitinho,31.0,9.0,1.8,0,1500000.0,26.0,1.5,1.0,2.2,0,0,0,1,2.23076923076923,4.976331360946742,14.22097566607244,6,17095
corinthians,Ángel Romero,33.0,8.0,1.76,0,1000000.0,48.0,1.16,-9.0,-2.0,0,0,0,1,4.23076923076923,17.89940828402366,13.815510557964274,6,17095
corinthians,Yuri Alberto,24.0,11.0,1.83,0,2200000.0,70.0,1.23,-3.0,0.2,0,0,0,1,-4.76923076923077,22.74556213017752,14.603967918328545,6,17095
cruzeiro,Wanderson,30.0,9.0,1.75,2000000,5000000.0,72.0,1.9,17.0,8.0,0,0,0,1,1.23076923076923,1.514792899408282,15.424948470398377,7,17224
cruzeiro,Yannick Bolasie,36.0,9.0,1.85,0,250000.0,12.0,2.1,2.0,1.4,0,0,0,1,7.23076923076923,52.284023668639044,12.429216196844385,7,17224
cruzeiro,Marquinhos,22.0,8.0,1.75,3000000,5500000.0,25.0,1.93,3.0,2.8,0,0,0,1,-6.76923076923077,45.822485207100605,15.5202586502027,7,17224
cruzeiro,Kaio Jorge,23.0,11.0,1.82,7200000,7000000.0,79.0,2.05,21.0,12.6,0,0,0,1,-5.76923076923077,33.284023668639065,15.761420707019589,7,17224
cruzeiro,Gabriel Barbosa,28.0,11.0,1.78,0,6000000.0,30.0,2.0,2.0,1.5,0,0,0,1,-0.76923076923077,0.5917159763313622,15.60727002719233,7,17224
flamengo,Samuel Lino,25.0,9.0,1.77,22000000,2200000.0,79.0,2.5,11.0,3.5,0,0,0,1,-3.76923076923077,14.207100591715983,14.603967918328545,8,16044
flamengo,Michael,29.0,9.0,1.66,0,6000000.0,44.0,2.1,9.0,5.5,0,0,0,1,0.23076923076922995,0.053254437869822105,15.60727002719233,8,16044
flamengo,Gonzalo Plata,24.0,8.0,1.78,3800000,7000000.0,54.0,2.31,12.0,5.0,0,0,0,1,-4.76923076923077,22.74556213017752,15.761420707019589,8,16044
flamengo,Luiz Araújo,29.0,8.0,1.75,9000000,5000000.0,55.0,2.44,19.0,10.2,0,0,0,1,0.23076923076922995,0.053254437869822105,15.424948470398377,8,16044
flamengo,Pedro,28.0,11.0,1.85,14000000,2200000.0,50.0,2.5,23.0,10.1,0,0,0,1,-0.76923076923077,0.5917159763313622,14.603967918328545,8,16044
flamengo,Juninho,28.0,11.0,1.79,5000000,2500000.0,25.0,1.91,1.0,1.5,0,0,0,1,-0.76923076923077,0.5917159763313622,14.73180128983843,8,16044
flamengo,Bruno Henrique,34.0,11.0,1.84,5500000,1000000.0,58.0,2.22,12.0,6.6,0,0,0,1,5.23076923076923,27.36094674556212,13.815510557964274,8,16044
fluminense,Yeferson Soteldo,28.0,9.0,1.6,4800000,6000000.0,40.0,0.0,-5.0,-1.6,0,0,0,1,-0.76923076923077,0.5917159763313622,15.60727002719233,9,16138
fluminense,Keno,35.0,9.0,1.74,1000000,500000.0,35.0,1.44,3.0,0.5,0,0,0,1,6.23076923076923,38.822485207100584,13.122363377404328,9,16138
fluminense,Santiago Moreno,25.0,8.0,1.78,5150000,3500000.0,7.0,0.0,0.0,-0.1,0,0,0,1,-3.76923076923077,14.207100591715983,15.068273526459642,9,16138
fluminense,Kevin Serna,27.0,8.0,1.82,1650000,2000000.0,50.0,1.25,-3.0,0.2,0,0,0,1,-1.76923076923077,3.1301775147929023,14.50865773852422,9,16138
fluminense,Germán Cano,37.0,11.0,1.76,0,800000.0,73.0,1.42,-4.0,-1.1,0,0,0,1,8.23076923076923,67.7455621301775,13.592367006650065,9,16138
fortaleza,Moisés,28.0,9.0,1.77,3450000,3000000.0,47.0,1.67,1.0,0.4,0,0,0,1,-0.76923076923077,0.5917159763313622,14.914122846632385,10,14121
fortaleza,José Herrera,22.0,8.0,1.72,2000000,2500000.0,44.0,0.83,-7.0,-2.5,0,0,0,1,-6.76923076923077,45.822485207100605,14.73180128983843,10,14121
fortaleza,Yago Pikachu,33.0,8.0,1.72,453000000,1000000.0,52.0,0.78,-5.0,-2.7,0,0,0,1,4.23076923076923,17.89940828402366,13.815510557964274,10,14121
fortaleza,Marinho,35.0,8.0,1.69,350000000,400000.0,50.0,0.93,-1.0,-0.9,0,0,0,1,6.23076923076923,38.822485207100584,12.89921982609012,10,14121
fortaleza,Adam Bareiro,29.0,11.0,1.8,1540000,4000000.0,23.0,0.67,-3.0,0.8,0,0,0,1,0.23076923076922995,0.053254437869822105,15.201804919084164,10,14121
fortaleza,Juan Martín Lucero,33.0,11.0,1.82,920000000,1200000.0,54.0,0.67,-4.0,-3.9,0,0,0,1,4.23076923076923,17.89940828402366,13.997832114758229,10,14121
fortaleza,Deyverson,34.0,11.0,1.87,1150000,500000.0,47.0,0.69,-2.0,0.5,0,0,0,1,5.23076923076923,27.36094674556212,13.122363377404328,10,14121
gremio,Alexander Aravena,22.0,9.0,1.78,3200000,6000000.0,26.0,1.0,-1.0,-0.4,0,0,0,1,-6.76923076923077,45.822485207100605,15.60727002719233,11,13966
gremio,Francis Amuzu,26.0,9.0,1.69,1200000,4000000.0,45.0,0.8,-6.0,-4.6,0,0,0,1,-2.76923076923077,7.668639053254442,15.201804919084164,11,13966
gremio,Cristian Olivera,23.0,8.0,1.7,4300000,6000000.0,75.0,1.71,5.0,-1.7,0,0,0,1,-5.76923076923077,33.284023668639065,15.60727002719233,11,13966
gremio,Martin Braithwaite,34.0,11.0,1.77,0,2700000.0,84.0,1.13,-5.0,-3.6,0,0,0,1,5.23076923076923,27.36094674556212,14.808762330974558,11,13966
juventude,Giovanny,27.0,9.0,1.75,0,700000.0,36.0,0.8,-8.0,-4.4,0,0,0,1,-1.76923076923077,3.1301775147929023,13.458835614025542,12,14238
juventude,Gabriel Taliari,28.0,11.0,1.77,170000000,900000.0,61.0,1.0,-9.0,-12.2,0,0,0,1,-0.76923076923077,0.5917159763313622,13.710150042306449,12,14238
juventude,Matheus Babi,28.0,11.0,1.91,0,400000.0,19.0,1.08,-6.0,-2.4,0,0,0,1,-0.76923076923077,0.5917159763313622,12.89921982609012,12,14238
juventude,Gilberto,36.0,11.0,1.78,0,300000.0,52.0,0.62,-11.0,-9.1,0,0,0,1,7.23076923076923,52.284023668639044,12.611537753638338,12,14238
mirassol,Negueba,25.0,8.0,1.73,0,900000.0,58.0,1.93,6.0,2.3,0,0,0,1,-3.76923076923077,14.207100591715983,13.710150042306449,13,12830
mirassol,Carlos Eduardo,28.0,8.0,1.73,0,500000.0,24.0,1.83,3.0,1.0,0,0,0,1,-0.76923076923077,0.5917159763313622,13.122363377404328,13,12830
mirassol,Luiz Filipe,24.0,8.0,1.74,0,100000.0,14.0,0.0,0.0,0.2,0,0,0,1,-4.76923076923077,22.74556213017752,11.512925464970229,13,12830
palmeiras,Paulinho,25.0,9.0,1.77,18000000,1600000.0,32.0,1.71,-1.0,0.9,0,0,0,1,-3.76923076923077,14.207100591715983,14.28551418721001,14,13482
palmeiras,Facundo Torres,25.0,9.0,1.77,11500000,1400000.0,67.0,2.29,9.0,7.8,0,0,0,1,-3.76923076923077,14.207100591715983,14.151982794585487,14,13482
palmeiras,Felipe Anderson,32.0,8.0,1.75,0,4000000.0,56.0,2.5,12.0,7.8,0,0,0,1,3.23076923076923,10.437869822485203,15.201804919084164,14,13482
palmeiras,Vitor Roque,20.0,11.0,1.74,25500000,2000000.0,58.0,2.17,17.0,10.7,0,0,0,1,-8.76923076923077,76.89940828402368,14.50865773852422,14,13482
santos,Guilherme,30.0,9.0,1.78,900000000,3000000.0,80.0,1.14,-6.0,-4.7,0,0,0,1,1.23076923076923,1.514792899408282,14.914122846632385,15,11587
