Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_ATA,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
flamengo,Pedro,28.0,11.0,1.85,14000000,2200000.0,50.0,2.5,23.0,10.1,1,-0.95438596491228,0.910852570021544,14.603967918328545,8,16044,2.0
flamengo,Juninho,28.0,11.0,1.79,5000000,2500000.0,25.0,1.91,1.0,1.5,1,-0.95438596491228,0.910852570021544,14.73180128983843,8,16044,2.0
flamengo,Bruno Henrique,34.0,11.0,1.84,5500000,1000000.0,58.0,2.22,12.0,6.6,1,5.04561403508772,25.45822099107418,13.815510557964274,8,16044,0.0
fluminense,Yeferson Soteldo,28.0,9.0,1.6,4800000,6000000.0,40.0,0.0,-5.0,-1.6,1,-0.95438596491228,0.910852570021544,15.60727002719233,9,16138,2.0
fluminense,Keno,35.0,9.0,1.74,1000000,500000.0,35.0,1.44,3.0,0.5,1,6.04561403508772,36.549449061249625,13.122363377404328,9,16138,0.0
fluminense,Santiago Moreno,25.0,8.0,1.78,5150000,3500000.0,7.0,0.0,0.0,-0.1,1,-3.95438596491228,15.637168359495226,15.068273526459642,9,16138,2.0
fluminense,Kevin Serna,27.0,8.0,1.82,1650000,2000000.0,50.0,1.25,-3.0,0.2,1,-1.95438596491228,3.819624499846104,14.50865773852422,9,16138,2.0
fluminense,Germán Cano,37.0,11.0,1.76,0,800000.0,73.0,1.42,-4.0,-1.1,1,8.04561403508772,64.7319052016005,13.592367006650065,9,16138,0.0
fortaleza,Moisés,28.0,9.0,1.77,3450000,3000000.0,47.0,1.67,1.0,0.4,1,-0.95438596491228,0.910852570021544,14.914122846632385,10,14121,2.0
fortaleza,José Herrera,22.0,8.0,1.72,2000000,2500000.0,44.0,0.83,-7.0,-2.5,1,-6.95438596491228,48.36348414896891,14.73180128983843,10,14121,2.0
fortaleza,Yago Pikachu,33.0,8.0,1.72,453000000,1000000.0,52.0,0.78,-5.0,-2.7,1,4.04561403508772,16.366992920898742,13.815510557964274,10,14121,0.0
fortaleza,Marinho,35.0,8.0,1.69,350000000,400000.0,50.0,0.93,-1.0,-0.9,1,6.04561403508772,36.549449061249625,12.89921982609012,10,14121,0.0
fortaleza,Adam Bareiro,29.0,11.0,1.8,1540000,4000000.0,23.0,0.67,-3.0,0.8,1,0.0456140350877198,0.0020806401969837,15.201804919084164,10,14121,2.0
fortaleza,Juan Martín Lucero,33.0,11.0,1.82,920000000,1200000.0,54.0,0.67,-4.0,-3.9,1,4.04561403508772,16.366992920898742,13.997832114758229,10,14121,0.0
fortaleza,Deyverson,34.0,11.0,1.87,1150000,500000.0,47.0,0.69,-2.0,0.5,1,5.04561403508772,25.45822099107418,13.122363377404328,10,14121,0.0
gremio,Alexander Aravena,22.0,9.0,1.78,3200000,6000000.0,26.0,1.0,-1.0,-0.4,1,-6.95438596491228,48.36348414896891,15.60727002719233,11,13966,2.0
gremio,Francis Amuzu,26.0,9.0,1.69,1200000,4000000.0,45.0,0.8,-6.0,-4.6,1,-2.95438596491228,8.728396429670665,15.201804919084164,11,13966,2.0
gremio,Cristian Olivera,23.0,8.0,1.7,4300000,6000000.0,75.0,1.71,5.0,-1.7,1,-5.95438596491228,35.45471221914435,15.60727002719233,11,13966,2.0
gremio,Martin Braithwaite,34.0,11.0,1.77,0,2700000.0,84.0,1.13,-5.0,-3.6,1,5.04561403508772,25.45822099107418,14.808762330974558,11,13966,1.0
juventude,Giovanny,27.0,9.0,1.75,0,700000.0,36.0,0.8,-8.0,-4.4,1,-1.95438596491228,3.819624499846104,13.458835614025542,12,14238,0.0
juventude,Rafael Bilu,26.0,8.0,1.74,0,0.0,20.0,0.0,-2.0,-0.1,1,-2.95438596491228,8.728396429670665,,12,14238,
juventude,Gabriel Taliari,28.0,11.0,1.77,170000000,900000.0,61.0,1.0,-9.0,-12.2,1,-0.95438596491228,0.910852570021544,13.710150042306449,12,14238,0.0
juventude,Matheus Babi,28.0,11.0,1.91,0,400000.0,19.0,1.08,-6.0,-2.4,1,-0.95438596491228,0.910852570021544,12.89921982609012,12,14238,0.0
juventude,Gilberto,36.0,11.0,1.78,0,300000.0,52.0,0.62,-11.0,-9.1,1,7.04561403508772,49.640677131425065,12.611537753638338,12,14238,0.0
mirassol,Negueba,25.0,8.0,1.73,0,900000.0,58.0,1.93,6.0,2.3,1,-3.95438596491228,15.637168359495226,13.710150042306449,13,12830,0.0
mirassol,Carlos Eduardo,28.0,8.0,1.73,0,500000.0,24.0,1.83,3.0,1.0,1,-0.95438596491228,0.910852570021544,13.122363377404328,13,12830,0.0
mirassol,Luiz Filipe,24.0,8.0,1.74,0,100000.0,14.0,0.0,0.0,0.2,1,-4.95438596491228,24.545940289319784,11.512925464970229,13,12830,0.0
