Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_DEF,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
bragantino,Vanderlan,22.0,3.0,1.83,7000000,3500000.0,84.0,1.5,0.0,-0.4,1,-6.95438596491228,48.36348414896891,15.068273526459642,4,18294,2.0
bragantino,Agustín Sant'Anna,27.0,2.0,1.73,1700000,3000000.0,41.0,1.22,-3.0,-1.3,1,-1.95438596491228,3.819624499846104,14.914122846632385,4,18294,2.0
bragantino,Nathan Mendes,23.0,2.0,1.82,1000000,1000000.0,54.0,1.11,-4.0,-4.8,1,-5.95438596491228,35.45471221914435,13.815510557964274,4,18294,2.0
ceara,Willian Machado,28.0,4.0,1.86,0,900000.0,89.0,1.3,0.0,-2.2,1,-0.95438596491228,0.910852570021544,13.710150042306449,5,17630,0.0
ceara,Éder,30.0,4.0,1.84,0,500000.0,90.0,0.0,-1.0,-0.7,1,1.04561403508772,1.0933087103724235,13.122363377404328,5,17630,0.0
ceara,Rafael Ramos,30.0,2.0,1.74,0,500000.0,35.0,1.23,-3.0,0.1,1,1.04561403508772,1.0933087103724235,13.122363377404328,5,17630,0.0
corinthians,André Ramalho,33.0,4.0,1.82,0,2000000.0,89.0,1.33,-2.0,-0.6,1,4.04561403508772,16.366992920898742,14.50865773852422,6,17095,2.0
corinthians,Gustavo Henrique,32.0,4.0,1.94,0,800000.0,90.0,0.88,-7.0,0.3,1,3.04561403508772,9.275764850723304,13.592367006650065,6,17095,0.0
corinthians,Matheus Bidu,26.0,3.0,1.72,270000000,2000000.0,73.0,1.23,3.0,3.3,1,-2.95438596491228,8.728396429670665,14.50865773852422,6,17095,2.0
corinthians,Hugo,27.0,3.0,1.79,0,1200000.0,51.0,1.33,-2.0,-1.9,1,-1.95438596491228,3.819624499846104,13.997832114758229,6,17095,2.0
corinthians,Fabrizio Angileri,31.0,3.0,1.85,0,700000.0,62.0,1.0,-5.0,-1.3,1,2.04561403508772,4.184536780547863,13.458835614025542,6,17095,0.0
corinthians,Matheuzinho,24.0,2.0,1.71,4000000,6000000.0,84.0,1.06,-3.0,0.1,1,-4.95438596491228,24.545940289319784,15.60727002719233,6,17095,2.0
cruzeiro,Lucas Villalba,31.0,4.0,1.77,770000000,1800000.0,89.0,1.94,20.0,13.3,1,2.04561403508772,4.184536780547863,14.403297222866392,7,17224,2.0
flamengo,Léo Ortiz,29.0,4.0,1.85,7000000,1300000.0,86.0,2.26,31.0,14.0,1,0.0456140350877198,0.0020806401969837,14.077874822431763,8,16044,0.0
flamengo,Léo Pereira,29.0,4.0,1.89,7000000,8000000.0,87.0,2.26,30.0,14.1,1,0.0456140350877198,0.0020806401969837,15.89495209964411,8,16044,2.0
flamengo,Danilo,34.0,4.0,1.84,0,3500000.0,62.0,2.29,11.0,4.5,1,5.04561403508772,25.45822099107418,15.068273526459642,8,16044,2.0
flamengo,Ayrton Lucas,28.0,3.0,1.8,7000000,7000000.0,50.0,2.43,10.0,4.1,1,-0.95438596491228,0.910852570021544,15.761420707019589,8,16044,2.0
flamengo,Alex Sandro,34.0,3.0,1.8,0,1800000.0,74.0,2.31,16.0,7.4,1,5.04561403508772,25.45822099107418,14.403297222866392,8,16044,2.0
flamengo,Guillermo Varela,32.0,2.0,1.73,0,1200000.0,58.0,2.2,19.0,6.9,1,3.04561403508772,9.275764850723304,13.997832114758229,8,16044,0.0
fluminense,Thiago Silva,40.0,4.0,1.81,0,700000.0,85.0,1.33,-3.0,0.9,1,11.04561403508772,122.00558941212682,13.458835614025542,9,16138,0.0
fluminense,Manoel,35.0,4.0,1.81,0,200000.0,75.0,1.5,0.0,-0.7,1,6.04561403508772,36.549449061249625,12.206072645530174,9,16138,0.0
fluminense,Gabriel Fuentes,28.0,3.0,1.8,1000000,2000000.0,87.0,0.67,-5.0,0.4,1,-0.95438596491228,0.910852570021544,14.50865773852422,9,16138,2.0
fluminense,Guga,26.0,2.0,1.73,1500000,2000000.0,63.0,1.6,-2.0,-1.2,1,-2.95438596491228,8.728396429670665,14.50865773852422,9,16138,2.0
