Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_MC,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
cruzeiro,Matheus Henrique,27.0,6.0,1.75,6300000,6000000.0,36.0,1.43,-3.0,-3.2,1,-1.95438596491228,3.819624499846104,15.60727002719233,7,17224,2.0
cruzeiro,Matheus Pereira,29.0,7.0,1.75,5000000,1100000.0,78.0,2.0,15.0,10.1,1,0.0456140350877198,0.0020806401969837,13.9108207377686,7,17224,0.0
flamengo,Jorginho,33.0,5.0,1.8,0,6000000.0,84.0,2.38,14.0,4.9,1,4.04561403508772,16.366992920898742,15.60727002719233,8,16044,2.0
flamengo,Erick Pulgar,31.0,5.0,1.87,2800000,5000000.0,72.0,2.22,12.0,8.4,1,2.04561403508772,4.184536780547863,15.424948470398377,8,16044,2.0
flamengo,Allan,28.0,5.0,1.72,8199999,4000000.0,46.0,2.36,10.0,4.5,1,-0.95438596491228,0.910852570021544,15.201804919084164,8,16044,2.0
flamengo,Nicolás de la Cruz,28.0,6.0,1.67,14500000,1800000.0,58.0,1.91,5.0,4.6,1,-0.95438596491228,0.910852570021544,14.403297222866392,8,16044,2.0
flamengo,Giorgian de Arrascaeta,31.0,7.0,1.74,15000000,1500000.0,74.0,2.44,29.0,10.7,1,2.04561403508772,4.184536780547863,14.22097566607244,8,16044,2.0
flamengo,Jorge Carrascal,27.0,7.0,1.8,12500000,7000000.0,26.0,3.0,0.0,0.4,1,-1.95438596491228,3.819624499846104,15.761420707019589,8,16044,2.0
fluminense,Facundo Bernal,22.0,5.0,1.87,3300000,2000000.0,65.0,1.27,-3.0,-5.3,1,-6.95438596491228,48.36348414896891,14.50865773852422,9,16138,2.0
fluminense,Luciano Acosta,31.0,7.0,1.6,3400000,6000000.0,83.0,0.0,-2.0,-0.4,1,2.04561403508772,4.184536780547863,15.60727002719233,9,16138,2.0
fluminense,Lima,29.0,7.0,1.81,500000000,2500000.0,49.0,1.79,0.0,1.5,1,0.0456140350877198,0.0020806401969837,14.73180128983843,9,16138,2.0
