variavel,todos_n,mc_n,todos_mean,mc_mean,delta_mean,delta_mean_%,todos_median,mc_median,todos_std,mc_std,todos_min,mc_min,todos_max,mc_max,todos_p10,mc_p10,todos_p90,mc_p90
age,285,88,28.95438596491228,28.363636363636363,-0.591,-2.0402767373198776,29.0,28.5,4.33,4.183,18.0,18.0,40.0,36.0,23.0,23.0,35.0,34.0
height,285,88,1.7915438596491227,1.7721590909090907,-0.019,-1.0820147458644114,1.78,1.77,0.067,0.054,1.6,1.6,1.99,1.88,1.71,1.71,1.88,1.84
value_num,285,88,€ 2.717.982,€ 2.832.386,114403.907,4.209148121525078,€ 2.000.000,€ 2.000.000,2339390.92,2275242.058,€ 0,€ 0,€ 10.000.000,€ 10.000.000,€ 400.000,€ 485.000,€ 6.000.000,€ 6.150.000
ln_value,285,88,14.386356815208787,14.503152827348124,0.117,0.8118526020143231,14.50865773852422,14.50865773852422,1.036,0.94,11.512925464970229,11.918390573078392,16.11809565095832,16.11809565095832,12.89921982609012,13.231756311480702,15.60727002719233,15.639287110261744
mn_per_match,285,88,60.51929824561404,57.71590909090909,-2.803,-4.632223498903695,63.0,58.5,22.675,20.042,1.0,4.0,90.0,90.0,26.0,31.700000000000003,89.0,81.6
xg,285,88,0.7417543859649122,0.8477272727272727,0.106,14.286789369570835,0.3,0.25,4.62,4.681,-17.1,-17.1,16.1,14.5,-4.52,-3.529999999999999,6.019999999999999,6.489999999999999
