Variável,n,Média,Mediana,Desvio_Padrão,Mínimo,Máximo,P10,P90,Assimetria,Curtose
age,283,28.982,29.0,4.332,18.0,40.0,23.0,35.0,0.049,-0.553
Height,283,1.792,1.78,0.068,1.6,1.99,1.71,1.88,0.069,-0.087
Value_Num,283,2737190.813,2000000.0,2336407.568,100000.0,10000000.0,400000.0,6000000.0,1.068,0.336
fb_Mn/MP,283,60.83,63.0,22.447,1.0,90.0,27.0,89.0,-0.516,-0.637
fb_xG+/-,283,0.747,0.3,4.636,-17.1,16.1,-4.56,6.06,0.084,1.773
ln_Value_Num,283,14.386,14.509,1.036,11.513,16.118,12.899,15.607,-0.518,-0.311
