Variável,n,Média,Mediana,Desvio_Padrão,Mínimo,Máximo,P10,P90,Assimetria,Curtose
age,92,28.739,28.0,4.46,20.0,39.0,23.0,34.9,0.154,-0.822
Height,92,1.774,1.77,0.065,1.6,1.94,1.69,1.86,0.068,0.049
Value_Num,92,2857065.217,2000000.0,2389164.891,0.0,10000000.0,500000.0,6000000.0,0.961,-0.016
fb_Mn/MP,92,48.293,50.0,20.781,1.0,85.0,20.1,76.8,-0.14,-0.918
fb_xG+/-,92,0.657,0.45,4.376,-12.2,12.6,-4.58,5.77,-0.017,0.916
ln_Value_Num,91,14.473,14.509,0.994,11.513,16.118,13.122,15.607,-0.533,-0.061
